"'Senate District ","'Composed of Assembly Districts ","'Political Party ","'Candidates ","'Vote ",
"'","'","'Special ","'Election, September 24, 1991 ","'",
"'17th ","'49th, 50th, 51st ","'Dem. ","'Stephen James Pickett ","'7,303 ",
"'","'","'Rep. ","'Dale W. Schultz ","'10,633 ",
"'","'","'November ","'3, 1992 General Election ","'",
"'2nd ","'4th, 5th, 6th ","'Dem. ","'Patricia J. Buss ","'29,324 ",
"'","'","'Rep. ","'Robert L. Cowles ","'40,570 ",
"'4th ","'10th, 11th, 12th ","'Dem. ","'Gwendolynne S. Moore ","'47,571 ",
"'6th ","'16th, 17th, 18th ","'Dem. ","'Gary R. George ","'35,558 ",
"'8th ","'22nd, 23rd, 24th ","'Dem. ","'William C. Whitten ","'26,656 ",
"'","'","'Rep. ","'Alberta Darling ","'55,130 ",
"'10th ","'28th, 29th, 30th ","'Dem. ","'Alice Clausing ","'36,129* ",
"'","'","'Rep. ","'William F. Berndt ","'35,728* ",
"'12th ","'34th, 35th, 36th ","'Dem. ","'* Roger M. Breske ","'39,282 ",
"'","'","'Rep. ","'Robert G. Ourada ","'35,765 ",
"'14th ","'40th, 41st, 42nd ","'Rep. ","'* Joseph Leean ","'50,034 ",
"'16th ","'46th, 47th, 48th ","'Dem. ","'* Charles J. Chvala ","'46,888 ",
"'","'","'Rep. ","'Eric D. Gordon ","'26,799 ",
"'18th ","'52nd, 53rd, 54th ","'Dem. ","'Betty Ziewacz ","'27,606 ",
"'","'","'Rep. ","'* Carol A. Buettner ","'45,757 ",
"'20th ","'58th, 59th, 60th ","'Dem. ","'Delmore A. Beaver ","'25,090 ",
"'","'","'Lib. ","'Larry R. Gavel ","'1,395 ",
"'","'","'Rep. ","'* Donald K. Stitt ","'48,563 ",
"'22nd ","'64th, 65th, 66th ","'Dem. ","'* Joseph F. Andrea ","'48,966 ",
"'24th ","'70th, 71st, 72nd ","'Dem. ","'* David Helbach ","'50,666 ",
"'26th ","'76th, 77th, 78th ","'Dem. ","'* Fred A. Risser ","'52,822 ",
"'","'","'Rep. ","'Curtis V. Brink ","'19,727 ",
"'","'","'Ind. ","'Andrew F. Heidt ","'6,064 ",
"'28th ","'82nd, 83rd, 84th ","'Dem. ","'* Lynn S. Adelman ","'39,591 ",
"'","'","'Rep. ","'Frederick F. Klimetz ","'38,775 ",
"'30th ","'88th, 89th, 90th ","'Dem. ","'Jerome Van Sistine ","'32,181 ",
"'","'","'Rep. ","'Gary F. Drzewiecki ","'36,274 ",
"'32nd ","'94th, 95th, 96th ","'Dem. ","'Diane Leslie Snyder ","'26,440 ",
"'","'","'Rep. ","'Brian D. Rude ","'46,778 ",
"'","'","'Special ","'Election, April 6, 1993 ","'",
"'5th ","'13th, 14th, 15th ","'Dem. ","'David A. Cullen ","'16,634 ",
"'","'","'Lib. ","'John T. Streicher ","'631 ",
"'","'","'Rep. ","'Peggy A. Rosenzweig ","'18,713 ",
"'23rd ","'67th, 68th, 69th ","'Dem. ","'Jerome L. Dachel ","'16,734 ",
"'","'","'Rep. ","'David A. Zien ","'24,390 ",
"'27th ","'79th, 80th, 81st ","'Dem. ","'Joseph S. Wineke ","'20,001 ",
"'","'","'Lib. ","'Jeffrey D. Friebert ","'468 ",
"'","'","'Rep. ","'Jonathan Barry ","'18,637 ",
"'","'","'Ind. ","'Todd A. Winstrom ","'350 ",
